old_path,new_path,sha256_before,sha256_after,action,reason,status
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_CRITICAL_STYLE_CONTROLS.CR_DB_0138.20260710_234505.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_CRITICAL_STYLE_CONTROLS.CR_DB_0138.20260710_234505.csv,d4783554005fcd3545269ec53a64b90c50b2ed032fdba0685b425e6c9ee8b23d,d4783554005fcd3545269ec53a64b90c50b2ed032fdba0685b425e6c9ee8b23d,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DB_GENERATED_DEPENDENCY_SCOPE.CR_DB_0121.20260710_104951.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DB_GENERATED_DEPENDENCY_SCOPE.CR_DB_0121.20260710_104951.csv,8350741802fdf32eaad0bac2f5fb9a7d0ef5eeaeeaa75c87d7ae1591cc5fa526,8350741802fdf32eaad0bac2f5fb9a7d0ef5eeaeeaa75c87d7ae1591cc5fa526,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DBB_DB_READINESS.CR_DB_0132.20260710_183059.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DBB_DB_READINESS.CR_DB_0132.20260710_183059.csv,99c17b39cbbce36060a41173576fa740bcef76f0ad2d09e61af27a294b2f815e,99c17b39cbbce36060a41173576fa740bcef76f0ad2d09e61af27a294b2f815e,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DBB_DB_SEED_RULE_MANIFEST.CR_DB_0132.20260710_183059.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DBB_DB_SEED_RULE_MANIFEST.CR_DB_0132.20260710_183059.csv,5a9f9796c55f979fdc391aa5227daa48ad6f586eaac1d8671bb92deb7396f81d,5a9f9796c55f979fdc391aa5227daa48ad6f586eaac1d8671bb92deb7396f81d,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DBB_GAPS_REMAINING.CR_DB_0132.20260710_183059.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DBB_GAPS_REMAINING.CR_DB_0132.20260710_183059.csv,e05abe9b14b0471948adf01c60f355d036839d6e9bede4326b9f98073f14649e,e05abe9b14b0471948adf01c60f355d036839d6e9bede4326b9f98073f14649e,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DBB_REQUIRED_SOURCE_CELLS.CR_DB_0132.20260710_183059.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DBB_REQUIRED_SOURCE_CELLS.CR_DB_0132.20260710_183059.csv,738f0f07294bc3d0c23499a9919bc807306ed107fa7557362c2e8833b273f0c7,738f0f07294bc3d0c23499a9919bc807306ed107fa7557362c2e8833b273f0c7,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DBB_WORKBOOK_CELL_MANIFEST.CR_DB_0132.20260710_183059.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DBB_WORKBOOK_CELL_MANIFEST.CR_DB_0132.20260710_183059.csv,daf4562088bc463e91e1977ae16eeaa2a6bbf1f708c4c433d7a639171fe74204,daf4562088bc463e91e1977ae16eeaa2a6bbf1f708c4c433d7a639171fe74204,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120C.20260709_201817.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120C.20260709_201817.csv,a0e932f64fbf6df1200110d15baa7d5534147b4c835c67aff2eec037ce9f9183,a0e932f64fbf6df1200110d15baa7d5534147b4c835c67aff2eec037ce9f9183,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120C_FIX.20260709_202458.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120C_FIX.20260709_202458.csv,a0e932f64fbf6df1200110d15baa7d5534147b4c835c67aff2eec037ce9f9183,a0e932f64fbf6df1200110d15baa7d5534147b4c835c67aff2eec037ce9f9183,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120D.20260710_101451.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_DEPENDENCY_SHEET_PLAN.CR_DB_0120D.20260710_101451.csv,273a700da55238484a1bd603ade7c26144f8103ccf8febafc37a2e6b1425bce1,273a700da55238484a1bd603ade7c26144f8103ccf8febafc37a2e6b1425bce1,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
